SUBDIVISION,YEAR,Jan-Feb,Mar-May,June-September,Oct-Dec,ANNUAL
Andaman & Nicobar Islands,1901,136.3,560.3,1696.3,980.3,3373.2
Andaman & Nicobar Islands,1902,159.8,458.3,2185.9,716.7,3520.7
Andaman & Nicobar Islands,1903,156.7,236.1,1874,690.6,2957.4
Andaman & Nicobar Islands,1904,24.1,506.9,1977.6,571,3079.6
Andaman & Nicobar Islands,1905,1.3,309.7,1624.9,630.8,2566.7
Andaman & Nicobar Islands,1906,36.6,556.1,1465.8,475.9,2534.4
Andaman & Nicobar Islands,1907,110.7,751.2,1327.1,1158.9,3347.9
Andaman & Nicobar Islands,1908,106,591,2303.7,575.7,3576.4
Andaman & Nicobar Islands,1910,49.3,520.1,1701,629,2899.4
Andaman & Nicobar Islands,1911,8.4,449.8,1553.6,675.4,2687.2
Andaman & Nicobar Islands,1912,584.5,162.6,1775.2,438.2,2960.5
Andaman & Nicobar Islands,1913,85.3,194.5,1596.7,489.3,2365.8
Andaman & Nicobar Islands,1914,0,336.5,2007.4,613.9,2957.8
Andaman & Nicobar Islands,1915,101.7,244.4,1350.7,1044.5,2741.3
Andaman & Nicobar Islands,1916,0,487.9,1753.6,696,2937.5
Andaman & Nicobar Islands,1917,11.6,412.4,1605.1,583.3,2612.4
Andaman & Nicobar Islands,1918,84.3,751.4,1670.4,768.9,3275
Andaman & Nicobar Islands,1919,28.2,319.4,1219.5,785,2352.1
Andaman & Nicobar Islands,1920,129.7,253.5,1814.1,745.9,2943.2
Andaman & Nicobar Islands,1921,16.3,388.7,1681,520.4,2606.4
Andaman & Nicobar Islands,1922,279.6,628.4,1751,895.2,3554.2
Andaman & Nicobar Islands,1923,79.5,412.1955035,2188,399.9,3079.595503
Andaman & Nicobar Islands,1924,28.7,295.7,1296.6,728.6348576,2349.634858
Andaman & Nicobar Islands,1925,36.6,341.2,1385.7,717,2480.5
Andaman & Nicobar Islands,1926,122.1,198.9,1808.3,1152.9,3282.2
Andaman & Nicobar Islands,1927,20.5,630.5,1124.8,667.1,2442.9
Andaman & Nicobar Islands,1928,118.5,709.5,1612.8,557.5,2998.3
Andaman & Nicobar Islands,1929,192.6,515.6,1540.4,678,2926.6
Andaman & Nicobar Islands,1930,192.8,373.6,1975.4,533.3,3075.1
